Team,Game ID,Type,Inning,Score
Orioles,748166,Offensive,4,0
Orioles,748166,Offensive,5,0
Orioles,748166,Offensive,6,0
Orioles,748166,Offensive,7,0
Orioles,748166,Offensive,8,0
Orioles,748166,Offensive,9,0
Braves,748166,Offensive,1,0
Braves,748166,Offensive,2,0
Braves,748166,Offensive,3,0
Braves,748166,Offensive,4,0
Braves,748166,Offensive,5,0
Braves,748166,Offensive,6,1
Braves,748166,Offensive,7,0
Braves,748166,Offensive,8,0
Braves,748166,Offensive,9,0
Marlins,748159,Offensive,1,2
Marlins,748159,Offensive,2,1
Marlins,748159,Offensive,3,1
Marlins,748159,Offensive,4,0
Marlins,748159,Offensive,5,0
Marlins,748159,Offensive,6,0
Marlins,748159,Offensive,7,2
Marlins,748159,Offensive,8,0
Marlins,748159,Offensive,9,0
Phillies,748159,Offensive,1,0
Phillies,748159,Offensive,2,0
Phillies,748159,Offensive,3,0
Phillies,748159,Offensive,4,0
Phillies,748159,Offensive,5,0
Phillies,748159,Offensive,6,3
Phillies,748159,Offensive,7,0
Phillies,748159,Offensive,8,2
Phillies,748159,Offensive,9,1
Athletics,748154,Offensive,1,0
Athletics,748154,Offensive,2,0
Athletics,748154,Offensive,3,0
Athletics,748154,Offensive,4,0
Athletics,748154,Offensive,5,0
Athletics,748154,Offensive,6,0
Athletics,748154,Offensive,7,0
Athletics,748154,Offensive,8,2
Athletics,748154,Offensive,9,2
Royals,748154,Offensive,1,2
Royals,748154,Offensive,2,0
Royals,748154,Offensive,3,1
Royals,748154,Offensive,4,0
Royals,748154,Offensive,5,1
Royals,748154,Offensive,6,0
Royals,748154,Offensive,7,0
Royals,748154,Offensive,8,0
Royals,748154,Offensive,9,1
Rangers,748151,Offensive,1,0
Rangers,748151,Offensive,2,1
Rangers,748151,Offensive,3,0
Rangers,748151,Offensive,4,0
Rangers,748151,Offensive,5,1
Rangers,748151,Offensive,6,0
Rangers,748151,Offensive,7,2
Rangers,748151,Offensive,8,0
Rangers,748151,Offensive,9,1
Giants,748151,Offensive,1,0
Giants,748151,Offensive,2,3
Giants,748151,Offensive,3,0
Giants,748151,Offensive,4,0
Giants,748151,Offensive,5,1
Giants,748151,Offensive,6,5
Giants,748151,Offensive,7,0
Giants,748151,Offensive,8,2
Giants,748151,Offensive,9,0
White Sox,748153,Offensive,1,0
White Sox,748153,Offensive,2,0
White Sox,748153,Offensive,3,2
White Sox,748153,Offensive,4,0
White Sox,748153,Offensive,5,4
White Sox,748153,Offensive,6,0
White Sox,748153,Offensive,7,0
White Sox,748153,Offensive,8,0
White Sox,748153,Offensive,9,0
Cubs,748153,Offensive,1,0
Cubs,748153,Offensive,2,0
Cubs,748153,Offensive,3,0
Cubs,748153,Offensive,4,2
Cubs,748153,Offensive,5,5
Cubs,748153,Offensive,6,2
Cubs,748153,Offensive,7,0
Cubs,748153,Offensive,8,1
Cubs,748153,Offensive,9,0
Angels,748158,Offensive,1,0
Angels,748158,Offensive,2,1
Angels,748158,Offensive,3,0
Angels,748158,Offensive,4,1
Angels,748158,Offensive,5,0
Angels,748158,Offensive,6,2
Angels,748158,Offensive,7,0
Angels,748158,Offensive,8,1
Angels,748158,Offensive,9,0
Padres,748158,Offensive,1,0
Padres,748158,Offensive,2,2
Padres,748158,Offensive,3,0
Padres,748158,Offensive,4,1
Padres,748158,Offensive,5,0
Padres,748158,Offensive,6,0
Padres,748158,Offensive,7,0
Padres,748158,Offensive,8,0
Padres,748158,Offensive,9,0
Mariners,748152,Offensive,1,0
Mariners,748152,Offensive,2,0
Mariners,748152,Offensive,3,5
Mariners,748152,Offensive,4,0
Mariners,748152,Offensive,5,0
Mariners,748152,Offensive,6,1
Mariners,748152,Offensive,7,0
Mariners,748152,Offensive,8,1
Mariners,748152,Offensive,9,2
Rockies,748152,Offensive,1,3
Rockies,748152,Offensive,2,1
Rockies,748152,Offensive,3,0
Rockies,748152,Offensive,4,1
Rockies,748152,Offensive,5,1
Rockies,748152,Offensive,6,1
Rockies,748152,Offensive,7,2
Rockies,748152,Offensive,8,1
Rockies,748152,Offensive,9,0
Padres,748155,Offensive,1,0
Padres,748155,Offensive,2,2
Padres,748155,Offensive,3,0
Padres,748155,Offensive,4,0
Padres,748155,Offensive,5,0
Padres,748155,Offensive,6,0
Padres,748155,Offensive,7,0
Padres,748155,Offensive,8,1
Padres,748155,Offensive,9,0
Brewers,748155,Offensive,1,0
Brewers,748155,Offensive,2,1
Brewers,748155,Offensive,3,0
Brewers,748155,Offensive,4,0
Brewers,748155,Offensive,5,0
Brewers,748155,Offensive,6,0
Brewers,748155,Offensive,7,2
Brewers,748155,Offensive,8,1
Brewers,748155,Offensive,9,0
Blue Jays,748163,Offensive,1,2
Blue Jays,748163,Offensive,2,0
Blue Jays,748163,Offensive,3,1
Blue Jays,748163,Offensive,4,0
Blue Jays,748163,Offensive,5,1
Blue Jays,748163,Offensive,6,0
Blue Jays,748163,Offensive,7,0
Blue Jays,748163,Offensive,8,0
Blue Jays,748163,Offensive,9,0
Yankees,748163,Offensive,1,0
Yankees,748163,Offensive,2,6
Yankees,748163,Offensive,3,0
Yankees,748163,Offensive,4,2
Yankees,748163,Offensive,5,0
Yankees,748163,Offensive,6,0
Yankees,748163,Offensive,7,0
Yankees,748163,Offensive,8,0
Yankees,748163,Offensive,9,0
D-backs,748156,Offensive,1,1
D-backs,748156,Offensive,2,2
D-backs,748156,Offensive,3,0
D-backs,748156,Offensive,4,2
D-backs,748156,Offensive,5,0
D-backs,748156,Offensive,6,1
D-backs,748156,Offensive,7,3
D-backs,748156,Offensive,8,1
D-backs,748156,Offensive,9,2
Reds,748156,Offensive,1,0
Reds,748156,Offensive,2,2
Reds,748156,Offensive,3,0
Reds,748156,Offensive,4,0
Reds,748156,Offensive,5,0
Reds,748156,Offensive,6,0
Reds,748156,Offensive,7,1
Reds,748156,Offensive,8,1
Reds,748156,Offensive,9,4
Guardians,748157,Offensive,1,0
Guardians,748157,Offensive,2,0
Guardians,748157,Offensive,3,0
Guardians,748157,Offensive,4,0
Guardians,748157,Offensive,5,2
Guardians,748157,Offensive,6,0
Guardians,748157,Offensive,7,0
Guardians,748157,Offensive,8,2
Guardians,748157,Offensive,9,0
Dodgers,748157,Offensive,1,0
Dodgers,748157,Offensive,2,0
Dodgers,748157,Offensive,3,1
Dodgers,748157,Offensive,4,0
Dodgers,748157,Offensive,5,0
Dodgers,748157,Offensive,6,0
Dodgers,748157,Offensive,7,0
Dodgers,748157,Offensive,8,5
Dodgers,748157,Offensive,9,0
Nationals,748150,Offensive,1,0
Nationals,748150,Offensive,2,2
Nationals,748150,Offensive,3,0
Nationals,748150,Offensive,4,0
Nationals,748150,Offensive,5,0
Nationals,748150,Offensive,6,0
Nationals,748150,Offensive,7,0
Nationals,748150,Offensive,8,0
Nationals,748150,Offensive,9,0
Red Sox,748150,Offensive,1,0
Red Sox,748150,Offensive,2,0
Red Sox,748150,Offensive,3,1
Red Sox,748150,Offensive,4,0
Red Sox,748150,Offensive,5,0
Red Sox,748150,Offensive,6,2
Red Sox,748150,Offensive,7,1
Red Sox,748150,Offensive,8,0
Red Sox,748150,Offensive,9,0
Pirates,748147,Offensive,1,1
Pirates,748147,Offensive,2,0
Pirates,748147,Offensive,3,0
Pirates,748147,Offensive,4,0
Pirates,748147,Offensive,5,5
Pirates,748147,Offensive,6,0
Pirates,748147,Offensive,7,0
Pirates,748147,Offensive,8,0
Pirates,748147,Offensive,9,1
Tigers,748147,Offensive,1,0
Tigers,748147,Offensive,2,0
Tigers,748147,Offensive,3,0
Tigers,748147,Offensive,4,2
Tigers,748147,Offensive,5,1
Tigers,748147,Offensive,6,0
Tigers,748147,Offensive,7,0
Tigers,748147,Offensive,8,0
Tigers,748147,Offensive,9,0
Cardinals,748145,Offensive,1,0
Cardinals,748145,Offensive,2,0
Cardinals,748145,Offensive,3,0
Cardinals,748145,Offensive,4,0
Cardinals,748145,Offensive,5,0
Cardinals,748145,Offensive,6,0
Cardinals,748145,Offensive,7,1
Cardinals,748145,Offensive,8,0
Cardinals,748145,Offensive,9,0
Astros,748145,Offensive,1,0
Astros,748145,Offensive,2,0
Astros,748145,Offensive,3,2
Astros,748145,Offensive,4,0
Astros,748145,Offensive,5,0
Astros,748145,Offensive,6,1
Astros,748145,Offensive,7,1
Astros,748145,Offensive,8,3
Astros,748145,Offensive,9,0
Red Sox,748148,Offensive,1,0
Red Sox,748148,Offensive,2,1
Red Sox,748148,Offensive,3,0
Red Sox,748148,Offensive,4,0
Red Sox,748148,Offensive,5,0
Red Sox,748148,Offensive,6,1
Red Sox,748148,Offensive,7,0
Red Sox,748148,Offensive,8,1
Red Sox,748148,Offensive,9,0
Rays,748148,Offensive,1,0
Rays,748148,Offensive,2,0
Rays,748148,Offensive,3,1
Rays,748148,Offensive,4,0
Rays,748148,Offensive,5,0
Rays,748148,Offensive,6,0
Rays,748148,Offensive,7,1
Rays,748148,Offensive,8,0
Rays,748148,Offensive,9,0
Twins,748146,Offensive,1,0
Twins,748146,Offensive,2,1
Twins,748146,Offensive,3,1
Twins,748146,Offensive,4,0
Twins,748146,Offensive,5,0
Twins,748146,Offensive,6,0
Twins,748146,Offensive,7,0
Twins,748146,Offensive,8,0
Twins,748146,Offensive,9,0
Phillies,748146,Offensive,1,0
Phillies,748146,Offensive,2,1
Phillies,748146,Offensive,3,0
Phillies,748146,Offensive,4,0
Phillies,748146,Offensive,5,0
Phillies,748146,Offensive,6,0
Phillies,748146,Offensive,7,2
Phillies,748146,Offensive,8,0
Phillies,748146,Offensive,9,0
Yankees,748141,Offensive,1,0
Yankees,748141,Offensive,2,0
Yankees,748141,Offensive,3,0
Yankees,748141,Offensive,4,0
Yankees,748141,Offensive,5,0
Yankees,748141,Offensive,6,0
Yankees,748141,Offensive,7,0
Yankees,748141,Offensive,8,0
Yankees,748141,Offensive,9,3
Orioles,748141,Offensive,1,0
Orioles,748141,Offensive,2,0
Orioles,748141,Offensive,3,0
Orioles,748141,Offensive,4,0
Orioles,748141,Offensive,5,1
Orioles,748141,Offensive,6,4
Orioles,748141,Offensive,7,2
Orioles,748141,Offensive,8,0
Orioles,748141,Offensive,9,0
Braves,748144,Offensive,1,3
Braves,748144,Offensive,2,0
Braves,748144,Offensive,3,0
Braves,748144,Offensive,4,0
Braves,748144,Offensive,5,0
Braves,748144,Offensive,6,0
Braves,748144,Offensive,7,0
Braves,748144,Offensive,8,3
Braves,748144,Offensive,9,0
Blue Jays,748144,Offensive,1,0
Blue Jays,748144,Offensive,2,0
Blue Jays,748144,Offensive,3,0
Blue Jays,748144,Offensive,4,0
Blue Jays,748144,Offensive,5,0
Blue Jays,748144,Offensive,6,0
Blue Jays,748144,Offensive,7,1
Blue Jays,748144,Offensive,8,0
Blue Jays,748144,Offensive,9,1
Mets,748149,Offensive,1,0
Mets,748149,Offensive,2,0
Mets,748149,Offensive,3,0
Mets,748149,Offensive,4,0
Mets,748149,Offensive,5,0
Mets,748149,Offensive,6,0
Mets,748149,Offensive,7,1
Mets,748149,Offensive,8,0
Mets,748149,Offensive,9,0
Marlins,748149,Offensive,1,3
Marlins,748149,Offensive,2,0
Marlins,748149,Offensive,3,0
Marlins,748149,Offensive,4,0
Marlins,748149,Offensive,5,0
Marlins,748149,Offensive,6,1
Marlins,748149,Offensive,7,0
Marlins,748149,Offensive,8,0
Marlins,748149,Offensive,9,0
Royals,748140,Offensive,1,0
Royals,748140,Offensive,2,4
Royals,748140,Offensive,3,0
Royals,748140,Offensive,4,2
Royals,748140,Offensive,5,0
Royals,748140,Offensive,6,1
Royals,748140,Offensive,7,1
Royals,748140,Offensive,8,1
Royals,748140,Offensive,9,4
Guardians,748140,Offensive,1,3
Guardians,748140,Offensive,2,0
Guardians,748140,Offensive,3,2
Guardians,748140,Offensive,4,0
Guardians,748140,Offensive,5,5
Guardians,748140,Offensive,6,0
Guardians,748140,Offensive,7,0
Guardians,748140,Offensive,8,2
Guardians,748140,Offensive,9,0
Cubs,748143,Offensive,1,0
Cubs,748143,Offensive,2,1
Cubs,748143,Offensive,3,0
Cubs,748143,Offensive,4,1
Cubs,748143,Offensive,5,0
Cubs,748143,Offensive,6,0
Cubs,748143,Offensive,7,3
Cubs,748143,Offensive,8,0
Cubs,748143,Offensive,9,0
Dodgers,748143,Offensive,1,0
Dodgers,748143,Offensive,2,3
Dodgers,748143,Offensive,3,0
Dodgers,748143,Offensive,4,3
Dodgers,748143,Offensive,5,0
Dodgers,748143,Offensive,6,0
Dodgers,748143,Offensive,7,0
Dodgers,748143,Offensive,8,2
Dodgers,748143,Offensive,9,0
Padres,748135,Offensive,1,0
Padres,748135,Offensive,2,0
Padres,748135,Offensive,3,1
Padres,748135,Offensive,4,0
Padres,748135,Offensive,5,0
Padres,748135,Offensive,6,0
Padres,748135,Offensive,7,1
Padres,748135,Offensive,8,0
Padres,748135,Offensive,9,1
Giants,748135,Offensive,1,0
Giants,748135,Offensive,2,0
Giants,748135,Offensive,3,0
Giants,748135,Offensive,4,0
Giants,748135,Offensive,5,0
Giants,748135,Offensive,6,0
Giants,748135,Offensive,7,0
Giants,748135,Offensive,8,2
Giants,748135,Offensive,9,0
White Sox,748136,Offensive,1,0
White Sox,748136,Offensive,2,0
White Sox,748136,Offensive,3,0
White Sox,748136,Offensive,4,0
White Sox,748136,Offensive,5,0
White Sox,748136,Offensive,6,0
White Sox,748136,Offensive,7,1
White Sox,748136,Offensive,8,2
White Sox,748136,Offensive,9,0
Rangers,748136,Offensive,1,0
Rangers,748136,Offensive,2,0
Rangers,748136,Offensive,3,6
Rangers,748136,Offensive,4,0
Rangers,748136,Offensive,5,0
Rangers,748136,Offensive,6,8
Rangers,748136,Offensive,7,0
Rangers,748136,Offensive,8,0
Rangers,748136,Offensive,9,0
D-backs,748142,Offensive,1,0
D-backs,748142,Offensive,2,1
D-backs,748142,Offensive,3,0
D-backs,748142,Offensive,4,0
D-backs,748142,Offensive,5,0
D-backs,748142,Offensive,6,0
D-backs,748142,Offensive,7,0
D-backs,748142,Offensive,8,0
D-backs,748142,Offensive,9,0
Angels,748142,Offensive,1,0
Angels,748142,Offensive,2,0
Angels,748142,Offensive,3,0
Angels,748142,Offensive,4,0
Angels,748142,Offensive,5,0
Angels,748142,Offensive,6,1
Angels,748142,Offensive,7,1
Angels,748142,Offensive,8,2
Angels,748142,Offensive,9,0
Reds,748137,Offensive,1,1
Reds,748137,Offensive,2,0
Reds,748137,Offensive,3,0
Reds,748137,Offensive,4,0
Reds,748137,Offensive,5,0
Reds,748137,Offensive,6,0
Reds,748137,Offensive,7,1
Reds,748137,Offensive,8,2
Reds,748137,Offensive,9,0
Rockies,748137,Offensive,1,0
Rockies,748137,Offensive,2,0
Rockies,748137,Offensive,3,2
Rockies,748137,Offensive,4,5
Rockies,748137,Offensive,5,1
Rockies,748137,Offensive,6,0
Rockies,748137,Offensive,7,0
Rockies,748137,Offensive,8,2
Rockies,748137,Offensive,9,0
Athletics,748139,Offensive,1,0
Athletics,748139,Offensive,2,0
Athletics,748139,Offensive,3,3
Athletics,748139,Offensive,4,3
Athletics,748139,Offensive,5,0
Athletics,748139,Offensive,6,5
Athletics,748139,Offensive,7,0
Athletics,748139,Offensive,8,1
Athletics,748139,Offensive,9,0
Mariners,748139,Offensive,1,0
Mariners,748139,Offensive,2,0
Mariners,748139,Offensive,3,0
Mariners,748139,Offensive,4,2
Mariners,748139,Offensive,5,0
Mariners,748139,Offensive,6,1
Mariners,748139,Offensive,7,0
Mariners,748139,Offensive,8,3
Mariners,748139,Offensive,9,2
Dodgers,748138,Offensive,1,2
Dodgers,748138,Offensive,2,1
Dodgers,748138,Offensive,3,0
Dodgers,748138,Offensive,4,4
Dodgers,748138,Offensive,5,0
Dodgers,748138,Offensive,6,0
Dodgers,748138,Offensive,7,4
Dodgers,748138,Offensive,8,0
Dodgers,748138,Offensive,9,0
Brewers,748138,Offensive,1,0
Brewers,748138,Offensive,2,0
Brewers,748138,Offensive,3,1
Brewers,748138,Offensive,4,1
Brewers,748138,Offensive,5,0
Brewers,748138,Offensive,6,1
Brewers,748138,Offensive,7,0
Brewers,748138,Offensive,8,0
Brewers,748138,Offensive,9,0
Orioles,748134,Offensive,1,0
Orioles,748134,Offensive,2,0
Orioles,748134,Offensive,3,1
Orioles,748134,Offensive,4,0
Orioles,748134,Offensive,5,0
Orioles,748134,Offensive,6,0
Orioles,748134,Offensive,7,0
Orioles,748134,Offensive,8,1
Orioles,748134,Offensive,9,3
Pirates,748134,Offensive,1,1
Pirates,748134,Offensive,2,0
Pirates,748134,Offensive,3,0
Pirates,748134,Offensive,4,0
Pirates,748134,Offensive,5,0
Pirates,748134,Offensive,6,0
Pirates,748134,Offensive,7,1
Pirates,748134,Offensive,8,0
Pirates,748134,Offensive,9,0
Blue Jays,748129,Offensive,1,0
Blue Jays,748129,Offensive,2,0
Blue Jays,748129,Offensive,3,0
Blue Jays,748129,Offensive,4,0
Blue Jays,748129,Offensive,5,0
Blue Jays,748129,Offensive,6,1
Blue Jays,748129,Offensive,7,0
Blue Jays,748129,Offensive,8,0
Blue Jays,748129,Offensive,9,0
Red Sox,748129,Offensive,1,0
Red Sox,748129,Offensive,2,0
Red Sox,748129,Offensive,3,0
Red Sox,748129,Offensive,4,0
Red Sox,748129,Offensive,5,0
Red Sox,748129,Offensive,6,1
Red Sox,748129,Offensive,7,0
Red Sox,748129,Offensive,8,2
Red Sox,748129,Offensive,9,0
Rays,748132,Offensive,1,0
Rays,748132,Offensive,2,0
Rays,748132,Offensive,3,0
Rays,748132,Offensive,4,0
Rays,748132,Offensive,5,0
Rays,748132,Offensive,6,4
Rays,748132,Offensive,7,0
Rays,748132,Offensive,8,0
Rays,748132,Offensive,9,0
Twins,748132,Offensive,1,0
Twins,748132,Offensive,2,0
Twins,748132,Offensive,3,0
Twins,748132,Offensive,4,2
Twins,748132,Offensive,5,1
Twins,748132,Offensive,6,1
Twins,748132,Offensive,7,0
Twins,748132,Offensive,8,0
Twins,748132,Offensive,9,0
Phillies,748127,Offensive,1,0
Phillies,748127,Offensive,2,0
Phillies,748127,Offensive,3,0
Phillies,748127,Offensive,4,2
Phillies,748127,Offensive,5,0
Phillies,748127,Offensive,6,0
Phillies,748127,Offensive,7,0
Phillies,748127,Offensive,8,0
Phillies,748127,Offensive,9,0
Braves,748127,Offensive,1,0
Braves,748127,Offensive,2,0
Braves,748127,Offensive,3,0
Braves,748127,Offensive,4,1
Braves,748127,Offensive,5,0
Braves,748127,Offensive,6,2
Braves,748127,Offensive,7,0
Braves,748127,Offensive,8,0
Braves,748127,Offensive,9,0
Tigers,748133,Offensive,1,1
Tigers,748133,Offensive,2,0
Tigers,748133,Offensive,3,0
Tigers,748133,Offensive,4,0
Tigers,748133,Offensive,5,2
Tigers,748133,Offensive,6,0
Tigers,748133,Offensive,7,0
Tigers,748133,Offensive,8,4
Tigers,748133,Offensive,9,0
Yankees,748133,Offensive,1,1
Yankees,748133,Offensive,2,0
Yankees,748133,Offensive,3,0
Yankees,748133,Offensive,4,0
Yankees,748133,Offensive,5,0
Yankees,748133,Offensive,6,1
Yankees,748133,Offensive,7,0
Yankees,748133,Offensive,8,0
Yankees,748133,Offensive,9,0
Astros,748131,Offensive,1,1
Astros,748131,Offensive,2,3
Astros,748131,Offensive,3,1
Astros,748131,Offensive,4,0
Astros,748131,Offensive,5,0
Astros,748131,Offensive,6,0
Astros,748131,Offensive,7,0
Astros,748131,Offensive,8,0
Astros,748131,Offensive,9,0
Mets,748131,Offensive,1,0
Mets,748131,Offensive,2,0
Mets,748131,Offensive,3,0
Mets,748131,Offensive,4,0
Mets,748131,Offensive,5,2
Mets,748131,Offensive,6,0
Mets,748131,Offensive,7,0
Mets,748131,Offensive,8,0
Mets,748131,Offensive,9,0
Guardians,748125,Offensive,1,1
Guardians,748125,Offensive,2,1
Guardians,748125,Offensive,3,1
Guardians,748125,Offensive,4,0
Guardians,748125,Offensive,5,0
Guardians,748125,Offensive,6,0
Guardians,748125,Offensive,7,0
Guardians,748125,Offensive,8,0
Guardians,748125,Offensive,9,0
Cubs,748125,Offensive,1,0
Cubs,748125,Offensive,2,0
Cubs,748125,Offensive,3,1
Cubs,748125,Offensive,4,0
Cubs,748125,Offensive,5,0
Cubs,748125,Offensive,6,1
Cubs,748125,Offensive,7,2
Cubs,748125,Offensive,8,1
Cubs,748125,Offensive,9,0
Reds,748124,Offensive,1,0
Reds,748124,Offensive,2,1
Reds,748124,Offensive,3,1
Reds,748124,Offensive,4,0
Reds,748124,Offensive,5,1
Reds,748124,Offensive,6,0
Reds,748124,Offensive,7,0
Reds,748124,Offensive,8,0
Reds,748124,Offensive,9,0
Royals,748124,Offensive,1,0
Royals,748124,Offensive,2,0
Royals,748124,Offensive,3,5
Royals,748124,Offensive,4,1
Royals,748124,Offensive,5,0
Royals,748124,Offensive,6,1
Royals,748124,Offensive,7,0
Royals,748124,Offensive,8,0
Royals,748124,Offensive,9,0
Rockies,748126,Offensive,1,0
Rockies,748126,Offensive,2,0
Rockies,748126,Offensive,3,0
Rockies,748126,Offensive,4,0
Rockies,748126,Offensive,5,1
Rockies,748126,Offensive,6,2
Rockies,748126,Offensive,7,1
Rockies,748126,Offensive,8,0
Rockies,748126,Offensive,9,0
Dodgers,748126,Offensive,1,3
Dodgers,748126,Offensive,2,2
Dodgers,748126,Offensive,3,1
Dodgers,748126,Offensive,4,1
Dodgers,748126,Offensive,5,0
Dodgers,748126,Offensive,6,0
Dodgers,748126,Offensive,7,0
Dodgers,748126,Offensive,8,0
Dodgers,748126,Offensive,9,0
Giants,748121,Offensive,1,2
Giants,748121,Offensive,2,0
Giants,748121,Offensive,3,0
Giants,748121,Offensive,4,1
Giants,748121,Offensive,5,0
Giants,748121,Offensive,6,1
Giants,748121,Offensive,7,1
Giants,748121,Offensive,8,0
Giants,748121,Offensive,9,1
Guardians,748121,Offensive,1,1
Guardians,748121,Offensive,2,0
Guardians,748121,Offensive,3,1
Guardians,748121,Offensive,4,2
Guardians,748121,Offensive,5,0
Guardians,748121,Offensive,6,0
Guardians,748121,Offensive,7,1
Guardians,748121,Offensive,8,0
Guardians,748121,Offensive,9,0
Rangers,748123,Offensive,1,0
Rangers,748123,Offensive,2,0
Rangers,748123,Offensive,3,0
Rangers,748123,Offensive,4,0
Rangers,748123,Offensive,5,1
Rangers,748123,Offensive,6,0
Rangers,748123,Offensive,7,1
Rangers,748123,Offensive,8,0
Rangers,748123,Offensive,9,0
Athletics,748123,Offensive,1,3
Athletics,748123,Offensive,2,0
Athletics,748123,Offensive,3,1
Athletics,748123,Offensive,4,0
Athletics,748123,Offensive,5,1
Athletics,748123,Offensive,6,0
Athletics,748123,Offensive,7,0
Athletics,748123,Offensive,8,0
Athletics,748123,Offensive,9,0
Mariners,748122,Offensive,1,0
Mariners,748122,Offensive,2,2
Mariners,748122,Offensive,3,0
Mariners,748122,Offensive,4,0
Mariners,748122,Offensive,5,1
Mariners,748122,Offensive,6,0
Mariners,748122,Offensive,7,1
Mariners,748122,Offensive,8,0
Mariners,748122,Offensive,9,0
Padres,748122,Offensive,1,0
Padres,748122,Offensive,2,0
Padres,748122,Offensive,3,3
Padres,748122,Offensive,4,2
Padres,748122,Offensive,5,5
Padres,748122,Offensive,6,2
Padres,748122,Offensive,7,0
Padres,748122,Offensive,8,0
Padres,748122,Offensive,9,0
White Sox,748120,Offensive,1,0
White Sox,748120,Offensive,2,0
White Sox,748120,Offensive,3,1
White Sox,748120,Offensive,4,0
White Sox,748120,Offensive,5,0
White Sox,748120,Offensive,6,0
White Sox,748120,Offensive,7,0
White Sox,748120,Offensive,8,0
White Sox,748120,Offensive,9,0
Angels,748120,Offensive,1,1
Angels,748120,Offensive,2,0
Angels,748120,Offensive,3,0
Angels,748120,Offensive,4,0
Angels,748120,Offensive,5,0
Angels,748120,Offensive,6,0
Angels,748120,Offensive,7,2
Angels,748120,Offensive,8,0
Angels,748120,Offensive,9,0
Brewers,748119,Offensive,1,3
Brewers,748119,Offensive,2,0
Brewers,748119,Offensive,3,0
Brewers,748119,Offensive,4,0
Brewers,748119,Offensive,5,3
Brewers,748119,Offensive,6,3
Brewers,748119,Offensive,7,0
Brewers,748119,Offensive,8,0
Brewers,748119,Offensive,9,1
D-backs,748119,Offensive,1,2
D-backs,748119,Offensive,2,0
D-backs,748119,Offensive,3,1
D-backs,748119,Offensive,4,0
D-backs,748119,Offensive,5,0
D-backs,748119,Offensive,6,0
D-backs,748119,Offensive,7,0
D-backs,748119,Offensive,8,1
D-backs,748119,Offensive,9,0
Marlins,748130,Offensive,1,0
